# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "4" "-p" "--countReadPairs" "-t" "gene" "-g" "ID" "-a" "reference/annotation/NK01067.gff" "-o" "results/counts_SRR35308233_pairs.txt" "results/alignment/SRR35308233.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/SRR35308233.sorted.bam
gene-M8Y62_00005	CP097651.1	1	1404	+	1404	2938
gene-M8Y62_00010	CP097651.1	1409	2509	+	1101	1533
gene-M8Y62_00015	CP097651.1	2717	3790	+	1074	519
gene-M8Y62_00020	CP097651.1	3819	6233	+	2415	4899
gene-M8Y62_00025	CP097651.1	6435	7247	+	813	772
gene-M8Y62_00030	CP097651.1	7397	8479	+	1083	42
gene-M8Y62_00035	CP097651.1	8476	9609	+	1134	59
gene-M8Y62_00040	CP097651.1	9839	10528	+	690	32
gene-M8Y62_00045	CP097651.1	10525	11403	+	879	44
gene-M8Y62_00050	CP097651.1	11387	12004	+	618	24
gene-M8Y62_00055	CP097651.1	12001	13149	+	1149	94
gene-M8Y62_00060	CP097651.1	13327	14664	+	1338	75
gene-M8Y62_00065	CP097651.1	14716	15942	+	1227	248
gene-M8Y62_00070	CP097651.1	15944	16276	-	333	410
gene-M8Y62_00075	CP097651.1	16591	17004	+	414	504
gene-M8Y62_00080	CP097651.1	17121	17549	+	429	145
gene-M8Y62_00085	CP097651.1	17686	18510	+	825	176
gene-M8Y62_00090	CP097651.1	18612	20273	+	1662	2506
gene-M8Y62_00095	CP097651.1	20265	20987	-	723	130
gene-M8Y62_00100	CP097651.1	21286	22908	+	1623	164
gene-M8Y62_00105	CP097651.1	22905	24227	+	1323	145
gene-M8Y62_00110	CP097651.1	24329	24676	+	348	30
gene-M8Y62_00115	CP097651.1	24666	25028	+	363	26
gene-M8Y62_00120	CP097651.1	25103	25525	+	423	252
gene-M8Y62_00125	CP097651.1	25529	26857	-	1329	162
gene-M8Y62_00130	CP097651.1	26874	28211	-	1338	66
gene-M8Y62_00135	CP097651.1	28303	28437	+	135	3
gene-M8Y62_00140	CP097651.1	28437	29360	+	924	113
gene-M8Y62_00145	CP097651.1	29520	30704	-	1185	352
gene-M8Y62_00150	CP097651.1	30880	31713	-	834	88
gene-M8Y62_00155	CP097651.1	31782	32228	-	447	180
gene-M8Y62_00160	CP097651.1	32319	32438	-	120	670
gene-M8Y62_00165	CP097651.1	32891	33058	-	168	47
gene-M8Y62_00170	CP097651.1	33071	33166	+	96	281
gene-M8Y62_00175	CP097651.1	33271	34959	+	1689	604
gene-M8Y62_00180	CP097651.1	34963	35250	+	288	185
gene-M8Y62_00185	CP097651.1	35401	35994	+	594	77
gene-M8Y62_00190	CP097651.1	36012	37493	+	1482	51
gene-M8Y62_00195	CP097651.1	37505	38833	+	1329	29
gene-M8Y62_00200	CP097651.1	38979	40370	+	1392	37
gene-M8Y62_00205	CP097651.1	40507	40959	+	453	166
gene-M8Y62_00210	CP097651.1	41089	41412	-	324	54
gene-M8Y62_00215	CP097651.1	41396	41755	-	360	47
gene-M8Y62_00220	CP097651.1	41967	43160	+	1194	112
gene-M8Y62_00225	CP097651.1	43157	43966	-	810	44
gene-M8Y62_00230	CP097651.1	43976	45079	-	1104	17
gene-M8Y62_00235	CP097651.1	45221	45940	+	720	45
gene-M8Y62_00240	CP097651.1	46119	47132	+	1014	11
gene-M8Y62_00245	CP097651.1	47138	48250	+	1113	16
gene-M8Y62_00250	CP097651.1	48250	49110	+	861	12
gene-M8Y62_00255	CP097651.1	49113	49910	+	798	9
gene-M8Y62_00260	CP097651.1	50230	51609	-	1380	76
gene-M8Y62_00265	CP097651.1	51754	52056	-	303	0
gene-M8Y62_00270	CP097651.1	52154	53476	-	1323	16
gene-M8Y62_00275	CP097651.1	53488	53802	-	315	5
gene-M8Y62_00280	CP097651.1	54096	55037	+	942	97
gene-M8Y62_00285	CP097651.1	55249	56619	+	1371	36
gene-M8Y62_00290	CP097651.1	56633	57895	+	1263	340
gene-M8Y62_00295	CP097651.1	57892	59118	-	1227	76
gene-M8Y62_00300	CP097651.1	59246	59986	+	741	23
gene-M8Y62_00305	CP097651.1	59983	60696	+	714	15
gene-M8Y62_00310	CP097651.1	60697	61782	+	1086	20
gene-M8Y62_00315	CP097651.1	61785	62648	+	864	67
gene-M8Y62_00320	CP097651.1	62652	62927	-	276	244
gene-M8Y62_00325	CP097651.1	63049	63987	-	939	114
gene-M8Y62_00330	CP097651.1	64103	65536	-	1434	101
gene-M8Y62_00335	CP097651.1	65561	66463	-	903	123
gene-M8Y62_00340	CP097651.1	66626	67789	-	1164	38
gene-M8Y62_00345	CP097651.1	67835	69199	-	1365	60
gene-M8Y62_00350	CP097651.1	69203	72310	-	3108	35
gene-M8Y62_00355	CP097651.1	72310	73434	-	1125	16
gene-M8Y62_00360	CP097651.1	73641	73763	+	123	0
gene-M8Y62_00365	CP097651.1	73723	73839	-	117	0
gene-M8Y62_00370	CP097651.1	73814	74230	+	417	41
gene-M8Y62_00375	CP097651.1	74609	75256	-	648	40
gene-M8Y62_00380	CP097651.1	75337	76830	+	1494	36
gene-M8Y62_00385	CP097651.1	76827	77798	-	972	106
gene-M8Y62_00390	CP097651.1	77837	78463	+	627	10
gene-M8Y62_00395	CP097651.1	78466	78936	+	471	7
gene-M8Y62_00400	CP097651.1	78957	79493	-	537	11
gene-M8Y62_00405	CP097651.1	79610	80515	+	906	70
gene-M8Y62_00410	CP097651.1	80644	81453	+	810	102
gene-M8Y62_00415	CP097651.1	81478	82332	+	855	39
gene-M8Y62_00420	CP097651.1	82322	82882	-	561	40
gene-M8Y62_00425	CP097651.1	83048	83827	+	780	29
gene-M8Y62_00430	CP097651.1	83849	84802	+	954	61
gene-M8Y62_00435	CP097651.1	84799	85848	-	1050	49
gene-M8Y62_00440	CP097651.1	86221	86919	+	699	15
gene-M8Y62_00445	CP097651.1	86971	87261	-	291	5
gene-M8Y62_00450	CP097651.1	87263	88270	-	1008	24
gene-M8Y62_00455	CP097651.1	88383	88850	-	468	22
gene-M8Y62_00465	CP097651.1	89405	90778	-	1374	49
gene-M8Y62_00470	CP097651.1	90784	91959	-	1176	152
gene-M8Y62_00475	CP097651.1	92121	92215	-	95	686
gene-M8Y62_00480	CP097651.1	92508	93902	+	1395	16
gene-M8Y62_00485	CP097651.1	93915	96233	+	2319	93
gene-M8Y62_00490	CP097651.1	96389	97111	+	723	468
gene-M8Y62_00495	CP097651.1	97302	98681	-	1380	66
gene-M8Y62_00500	CP097651.1	98694	100253	-	1560	46
gene-M8Y62_00505	CP097651.1	100499	102214	-	1716	170
gene-M8Y62_00510	CP097651.1	102355	103746	-	1392	84
gene-M8Y62_00515	CP097651.1	104031	105233	+	1203	610
gene-M8Y62_00520	CP097651.1	105348	106859	-	1512	1286
gene-M8Y62_00525	CP097651.1	106881	107732	-	852	623
gene-M8Y62_00530	CP097651.1	108175	108420	+	246	1050
gene-M8Y62_00535	CP097651.1	108572	109561	+	990	161
gene-M8Y62_00540	CP097651.1	109724	110494	+	771	87
gene-M8Y62_00545	CP097651.1	110559	111863	+	1305	62
